,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author Last Name,Author First Name,Other Authors,Newspaper/Publisher,Publication Year,Article Title,"Publication Location (City, County, State) Where was the article published? ","Contextual Location (City, County, State) Where is the article talking about? If mutliple locations are referenced, list them all. If national, write national","News Source (e.g. Google, Ethnic News Watch, etc)",Date of Publication,"Page # (if applicable, if not, write N/A)",Type,Link (paste to Google drive upload),MMIWG mentioned (1=y 0=n),"MMIWG defined (1,0)","specific case (1,0)","MMIWG mvmnt (1,0)","coverage of legal protection (1,0)","News article (1,0)","video/audio (1,0)","material culture (1,0)","international (1,0)","national (1,0)","regional (1,0)","local (1,0)","Native (1,0)",# of sources,# of govt officials,# of ordinary people,# of experts,# of id male,# of id female,# of gender unID,"(Native voice) token/soundbite (1,0)","centers importance of MMIWG (1,0)","discussion of law impact (1,0)",word count,"article series (1,0)"
Ryder,Mia,,"Daily Emerald: University of Oregon

",2021,REDress poetry event honors missing and murdered Indigenous women ,"Eugene, OR","Springfield, OR; Willamette River, OR; Oregon",Access World News,"May 8th, 2021",N/A,Web-Only Source,https://drive.google.com/file/d/1Htw2G01lErUnDc3mjy6pPoHhgPdMYSAt/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,
Thorson,Berit,,East Oregonian,2024,Governer's budget proposal includes tribal priorities - Kotek continues to push for housing and homelessness funds,"Pendleton, OR","Umatilla County, OR; Oregon; Confederated Tribes of Umatilla Indian Reservation, OR ",Access World News,"December 11th, 2024",N/A,Newspaper,https://drive.google.com/file/d/1Fl4GN4AAovJE_OSLVQet3F7YiCXbDZpt/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,
Bartoo-Smith,Nika,Jarette Werk,East Oregonian,2024,Dancing to honor those missing - Oregon Ravens player Kola Shippentower and CTUIR youth honor missing and murdered Indigenous relatives,"Pendleton, OR","Umatilla, OR; Seattle, WA; Milwaukie, OR; Oregon; Lummi Nation, WA",Access World News,"May 11th, 2024",N/A,Newspaper,https://drive.google.com/file/d/1dhkruP3ro0F-SQx01BH_yQe1UByrwAfs/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,
Ayer,Tammy,,East Oregonian,2024,"Event spotlights missing, murdered Indigenous people","Pendleton, OR","Confederated Tribes of Umatilla Indian Reservation, OR; Mission, OR; Yakima Nation, WA; Warm Springs Reservation, OR; Oklahoma",Access World News,"April 27th, 2024",N/A,Newspaper,https://drive.google.com/file/d/1FSdINzNUtsdFXecvgblHmguBi9HqZh2V/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,
East Oregonian,,,East Oregonian,2023,Feves Gallery features works of David Stump,"Pendleton, OR","Confederated Tribes of Umatilla Indian Reservation, OR; Walla Walla, WA; Pendleton, OR; Portland, OR ",Access World News,November 7th 2023,N/A,Newspaper,https://drive.google.com/file/d/1pH8XZRDmGYF-k5r9iuYbfzVJq4F8fXC1/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,
,,,East Oregonian,2023,"Giving a voice to those without one - Red Dress event honors, calls attention to missing and murdered Indigenous people","Pendleton, OR","Confederated Tribes of Umatilla Indian Reservation, OR; Mission, OR; Yakima Nation, WA; Warm Springs Reservation, OR; U.S. Highway 97, WA",Access World News,"July 4th, 2023",N/A,Newspaper,https://drive.google.com/file/d/1cVYo5t2uwgrVCOrOzZxLjdJdkDwV7Jw6/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,
Kickingwoman,Kolby,,East Oregonian,2023,State of Indian Nations: 'We have incredible momentum' - 2023 State of Indian Nations addresses calls on tribal leaders to pushing on issues Facing Indian country,"Pendleton, OR","Washington D.C.; Quinault Indian Nation, WA; Massachusettes; ",Access World News,"March 14th, 2023",N/A,Newspaper,https://drive.google.com/file/d/1B6jIMJhjYUcPLArnfkS3vA02O7kRktwK/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,
Dole,Bryce,Zack Demars,East Oregonian,2022,Voices of resilience - Justice lags for Indigenous survivors of violence,"Pendleton, OR","Mission, OR; Confederated Tribes of Umatilla Indian Reservation, OR; Blue Mountains, OR; Oregon; Yakima Reservation, WA; Warm Springs Reservation, OR; Portland, OR; Oklahoma",Access World News,"July 16th, 2022",N/A,Newspaper,https://drive.google.com/file/d/1ZfH02ng7KUqIYOzbI7DjYqSdXwBSMt3s/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,
Dake,Lauren,,East Oregonian,2021,Oregon releases first missing and murdered Indigenous persons report,"Pendleton, OR","Oregon; Salem, OR; Toppenish, WA; Yakima, WA",Access World News,"February 23rd, 2021",N/A,Newspaper,https://drive.google.com/file/d/1W9eLtcDjNVZDoNSuV2hn6j_7sT098i3O/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,
,,,East Oregonian,2019,"Art, awarness during Native American Heritage Month","Pendleton, OR","La Grande, OR; Pendleton, OR; ",Access World News,"December 10th, 2019",N/A,Newspaper,https://drive.google.com/file/d/1paJ7buOBXDdAl0MGQPGNDnp0nZU2bz9u/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,
